,Document Number,Requested Pickup Date,Doner,Doner Address,Doner City,Doner State,Receiver,Receiver Address,Receiver City,Receiver State,Actual Freight Cost,Shipping Method Code,Transaction Year,Year 2018,Year 2019,Year 2020,Year 2021,Transaction Month,Season,Spring,Summer,Autumn,Winter,Miles,Route Highway Density,Doner Highway Density,Doner State Area,Receiver Highway Density,Receiver State Area,Diesel Price,Total Gross Weight,Case,Carton,Bag,Totes,Box,Crate,Bulk box,Bin,Pallet,LB,FRUITS Gross Weight,FRUITS Pack,FRUITS Size,FRUITS Units,FRUITS Item Gross Weight,FRUITS Quantity,APPLE,APRICOT,BANANA,CANTALOUPE,CHERRY,CITRUS,GRAPE,GRAPEFRUIT,HONEYDEW,KIWI,LEMON,LIME,MANDARIN,MANGO,MELON,ORANGE,PEACH,PEAR,PERSIMMON,PINEAPPLE,PLANTAIN,PLUM,"PRODUCE, BOXES","STONE FRUIT, MIXED",STRAWBERRY,TANGERINE,WATERMELON,VEGETABLES Gross Weight,VEGETABLES Pack,VEGETABLES Size,VEGETABLES Units,VEGETABLES Item Gross Weight,VEGETABLES Quantity,ASPARAGUS,BEAN,BEET,BOK CHOY,BROCCOLI,BRUSSEL SPROUT,CABBAGE,CARROT,CAULIFLOWER,CELERY,CHARD,CORN,CUCUMBER,EGGPLANT,GREENS,"GREENS, COLLARD","GREENS, MUSTARD",KALE,LETTUCE,ONION,PARSNIP,PEPPER,POTATO,"PRODUCE, ASSORTED VEGETABLE",PUMPKIN,RADISH,RUTABAGA,SQUASH,"SQUASH, HARD/WINTER","SQUASH, SOFT/SUMMER",SWEET POTATO,TOMATILLO,TOMATO,TURNIP,VEGETABLE,Donation Date
2308,PR27612339,2018/10/19,Feeding Washington,111 Meade Street,Zillah,Washington,"Houston, Texas Food Bank (FB)",535 Portwall St,Houston,Texas,5456.37,1,2018,1,0,0,0,10,Winter,0,0,0,1,2283.0,1.2782477322502461,1.35,171481.4815,1.26,674285.7143,3.38,39200.0,0,0,0,0,0,0,0,1,0,0,39200.0,1.0,700.0,Bin,700.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/10/17
2309,PR19368132,2018/4/6,California Association of Food Banks,1300 I St,Reedley,California,"Chicago, Illinois Food Bank (FB)",4100 W 42nd Pl,Chicago,Illinois,3456.43,1,2018,1,0,0,0,4,Summer,0,1,0,0,2143.0,2.517288970403463,2.21,403348.4163,3.38,143668.6391,3.043,42000.0,1,0,0,0,0,0,0,0,0,0,42000.0,1.0,40.0,Case,40.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/3/8
2310,PR26970216,2018/10/5,Voelpel Farms Inc,2770 W Creek Rd,Newfane,New York,"Shreveport, Louisiana Food Bank (FB)",2307 Texas Ave,Shreveport,Louisiana,3332.32,1,2018,1,0,0,0,10,Winter,0,0,0,1,1296.0,3.1047182583031656,4.54,122114.5374,1.54,112012.987,3.385,40000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.0,50.0,Bag,50.0,800.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/10/1
2311,PR37794410,2019/8/12,"Alsum Farms & Produce, Inc.",N9083 Hwy EF,CAMBRIA,Wisconsin,"Lexington, Kentucky Food Bank (FB)",1270 Enterprise Dr,Winchester,Kentucky,1722.0,1,2019,0,1,0,0,8,Autumn,0,0,1,0,600.0,2.297301908905213,1.96,140357.1429,2.76,102318.8406,3.011,40000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,200.0,5.0,Bag,1000.0,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/6/20
2312,PR41421991,2019/10/9,"Williams Farms, LLC",5060 Russell Rd,Marion,New York,"Kingsport, Tennessee Food Bank (FB)",1020 Jericho Dr,Kingsport,Tennessee,1400.7,1,2019,0,1,0,0,10,Winter,0,0,0,1,690.0,3.587478595934076,4.54,122114.5374,2.5,106960.0,3.051,40000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,5.0,10.0,Bag,50.0,800.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/10/7
2313,PR47932826,2020/10/5,Feeding Washington,2300 Ahtanum Road,Yakima,Washington,"Bridgeton, Missouri Food Bank (FB)",70 Corporate Woods Dr,Bridgeton,Missouri,4829.96,1,2020,0,0,1,0,10,Winter,0,0,0,1,1954.0,1.5383418206960355,1.35,171481.4815,1.72,177790.6977,2.387,40320.0,0,1,0,0,0,0,0,0,0,0,40320.0,1.0,36.0,Carton,36.0,1120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2020/9/24
2314,PR44862371,2020/4/24,Feeding Washington,456 S. Booker Road,Bruce,Washington,"Greeley, Colorado Food Bank (FB)",1108 H St,Greeley,Colorado,1778.12,1,2020,0,0,1,0,4,Summer,0,1,0,0,1262.0,1.0452520341570701,1.35,171481.4815,0.85,267647.0588,2.437,42000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,1.0,50.0,Bag,50.0,336.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2020/4/21
2315,PR34938916,2019/5/17,Feeding Florida,837 East Main Street,Immokolee,Florida,"Cleveland, Ohio Food Bank (FB)",15500 S Waterloo Rd,Cleveland,Ohio,3012.27,1,2019,0,1,0,0,5,Summer,0,1,0,0,1210.0,3.6858469118234263,2.86,138846.1538,4.77,105765.1992,3.1630000000000003,41160.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41160.0,1.0,40.0,Box,40.0,1029.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/4/19
2316,PR33656401,2019/3/26,Gumz Muck Farms LLC,N570 6th Ct,Endeavor,Wisconsin,"Kansas City, Missouri Food Bank (FB)",3801 Topping Ave,Kansas City,Missouri,1324.0,1,2019,0,1,0,0,3,Spring,1,0,0,0,541.0,1.8258806944358685,1.96,140357.1429,1.72,177790.6977,3.0780000000000003,42000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,1.0,50.0,Bag,50.0,840.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/3/20
2317,PR26066377,2018/9/11,"Alsum Farms & Produce, Inc.",N90083 HWY EF,FRIESLAND,Wisconsin,"Bloomington, Indiana Food Bank (FB)",2333 W Industrial Park Dr,Bloomington,Indiana,1799.0,1,2018,1,0,0,0,9,Autumn,0,0,1,0,417.0,2.294146490888495,1.96,140357.1429,2.8,92714.28571,3.2680000000000002,40000.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.0,2000.0,Totes,2000.0,20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/9/7
